x,y,rho_n,Temp
382.210938,220.851562,0.002602647327172747,5.854622778898111
382.773438,220.992187,0.0015498926190197215,5.865318561862849
383.33203100000003,220.851562,0.002602647327172747,5.875940054295954
383.828125,221.0625,0.0010235115218154567,5.885373145414369
384.386719,221.136719,0.00046788910983741605,5.895994656862199
385.648438,221.136719,0.00046788910983741605,5.919985897015951
386.06640600000003,220.363281,0.006258043747806807,5.927933443707872
386.48828100000003,221.0625,0.0010235115218154567,5.935955280931425
386.980469,220.082031,0.008363553164112747,5.945314100532933
387.47265600000003,220.921875,0.002076266229968371,5.954672901119715
388.03125,220.714844,0.003626153234296381,5.965294412567545
388.664063,220.992187,0.0015498926190197215,5.9773271779102375
389.36328100000003,220.0117187,0.008889929020938214,5.990622616084527
390.136719,220.851562,0.002602647327172747,6.005329327168403
